# Detector	x	y
LGNP001	497637	5793625
LGNP002	497496	5792714
LGNP003	497675	5792162
LGNP004	498845	5794329
LGNP005	498700	5793500
LGNP006	498935	5792736
LGNP007	499441	5792234
LGNP008	498893	5791733
LGNP009	500439	5795005
LGNP010	500505	5792894
LGNP011	501254	5793961
LGNP012	500912	5791807
LGNP013	501912	5794719
LGNP014	501948	5793122
LGNP015	501555	5791234
LGNP016	502967	5794692
LGNP017	502846	5792941
LGNP018	502503	5791225
LGNP019	502448	5790775
LGNP020	503906	5794309
LGNP021	503644	5791361
LGNP022	503589	5790254
LGNP023	504233	5791435
LGNP024	505251	5793648
LGNP025	505188	5791934
LGNP026	504689	5790999
LGNP027	505786	5792543
LGNP028	506160	5791537
LGNP029	505795	5791054
LGNP030	507124	5792954
LGNP031	506712	5791219
LGNP032	506353	5790322
LGNP033	507720	5791806
LGNP034	507257	5790547
LGNP035	508161	5791551
LGNP036	508455	5790720
LGNP037	509460	5790404
LGNP038	510682	5790221
LGNP039	510598	5789402
LGNP040	510151	5788434
LGNP041	509953	5787958
LGNP042	510398	5787114
LGNP043	512281	5790480
LGNP044	511843	5789974
LGNP045	511373	5787210
LGNP046	512874	5790331
LGNP047	512527	5789268
LGNP048	512019	5786854
LGNP049	513590	5789714
LGNP050	513170	5788607
LGNP051	513087	5787329
LGNP052	513937	5788778
LGNP053	513552	5787703
LGNP054	514769	5788717
LGNP055	514576	5788265
LGNP056	515572	5787633
LGNP057	516802	5788215
LGNP058	517485	5787249
LGNP059	518244	5787911
LGNP060	519880	5787113
LGNP061	521554	5789557
LGNP062	521496	5787294
LGNP063	520774	5786597
LGNP064	522513	5788325
