"","species","month","df","AIC","dAIC"
"1","cat","6",256.827277545643,3689.05970005117,0
"2","cat","18",256.912787949295,3696.37125942215,7.31155937098629
"3","cat","12",256.91302336463,3696.3729692168,7.31326916563557
"4","cat","24",258.461385905787,3699.59177053977,10.5320704886017
"5","fox","18",303.721699108723,4129.37423556233,0
"6","fox","24",303.566828634158,4132.02372882973,2.64949326740498
"7","fox","12",306.485596931583,4137.30434117998,7.93010561765004
"8","fox","6",312.635107802984,4142.22044641061,12.8462108482809
"9","LNP","6",306.310735735015,1579.20563258149,0
"10","LNP","12",306.316775127974,1579.21552026146,0.00988767997660034
"11","LNP","24",306.318672294076,1579.21854017491,0.012907593426462
"12","LNP","18",308.765971384193,1582.44295432958,3.23732174809425
"13","SBB","6",248.50824624125,1881.80715475429,0
"14","SBB","24",247.826454256218,1882.21506988352,0.407915129223738
"15","SBB","12",249.712862955118,1882.78981597304,0.982661218745307
"16","SBB","18",250.196235838753,1885.25520633689,3.44805158259942
